wavelength,intensity
774.42,1.489e+13
774.73,1.489e+13
775.04,1.0133e+13
775.34,8.4171e+12
775.65,-4.7005e+12
775.95,-4.7005e+12
776.26,-4.7005e+12
776.56,-7.4789e+12
776.87,-7.4789e+12
777.18,-8.3698e+12
777.48,-8.3698e+12
777.79,-8.3698e+12
778.09,-9.5386e+12
778.4,-9.5386e+12
778.7,4.61e+12
779.01,-9.5386e+12
779.31,-2.1241e+13
779.62,-2.1241e+13
779.92,-1.1083e+13
780.23,-1.1083e+13
780.53,3.066e+12
780.84,-1.1083e+13
781.14,3.066e+12
781.45,3.066e+12
781.75,3.6925e+11
